PERMIT_NUMBER,NAME,LOCATION_NAME,ADDRESS,LATITUDE,LONGITUDE,CITY_NAME,ZIP_CODE,CURRENT_GRADE,CURRENT_DEMERITS,SEARCH_TEXT
PR0000036,FLAMINGO PIZZA JOINT,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,O,0,FLAMINGO PIZZA JOINT FLAMINGO PIZZA JOINT
PR0000037,FLAMINGO LOWER RED ROCK PANTRY,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,9,FLAMINGO LOWER RED ROCK PANTRY FLAMINGO LOWER RED ROCK PANTRY
PR0000040,FLAMINGO SIN CITY BREWING COMPANY,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO SIN CITY BREWING COMPANY FLAMINGO SIN CITY BREWING COMPANY
PR0000041,FLAMINGO HOT DOG CART 1,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO HOT DOG CART 1 FLAMINGO HOT DOG CART 1
PR0000042,FLAMINGO COFFEE KIOSK,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,1,FLAMINGO COFFEE KIOSK FLAMINGO COFFEE KIOSK
PR0000045,FLAMINGO TROPICAL BREEZE HOTLINE,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO TROPICAL BREEZE HOTLINE FLAMINGO TROPICAL BREEZE HOTLINE
PR0000046,FLAMINGO TROPICAL BREEZE PANTRY,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO TROPICAL BREEZE PANTRY FLAMINGO TROPICAL BREEZE PANTRY
PR0000047,FLAMINGO MARGARITAVILLE TEQUILA BAR FL 3,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,6,FLAMINGO MARGARITAVILLE TEQUILA BAR FL 3 FLAMINGO MARGARITAVILLE TEQUILA BAR FL 3
PR0000048,FLAMINGO DIAMOND LOUNGE BUFFET,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO DIAMOND LOUNGE BUFFET FLAMINGO DIAMOND LOUNGE BUFFET
PR0000049,FLAMINGO SW CORNER BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,3,FLAMINGO SW CORNER BAR FLAMINGO SW CORNER BAR
PR0000050,FLAMINGO CENTER CUT BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,8,FLAMINGO CENTER CUT BAR FLAMINGO CENTER CUT BAR
PR0000051,FLAMINGO CENTER CUT SERVICE BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO CENTER CUT SERVICE BAR FLAMINGO CENTER CUT SERVICE BAR
PR0000054,FLAMINGO POOL AREA BBQ    DELETED,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO POOL AREA BBQ    DELETED FLAMINGO POOL AREA BBQ    DELETED
PR0000056,FLAMINGO CLUB CAPPUCCINO MONORAIL,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,3,FLAMINGO CLUB CAPPUCCINO MONORAIL FLAMINGO CLUB CAPPUCCINO MONORAIL
PR0000057,FLAMINGO TCBY,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,3,FLAMINGO TCBY FLAMINGO TCBY
PR0000058,FLAMINGO MRS FIELDS,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO MRS FIELDS FLAMINGO MRS FIELDS
PR0000059,FLAMINGO CLUB CAPPUCINO,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO CLUB CAPPUCINO FLAMINGO CLUB CAPPUCINO
PR0000060,FLAMINGO MARGARITAVILLE CASINO BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,3,FLAMINGO MARGARITAVILLE CASINO BAR FLAMINGO MARGARITAVILLE CASINO BAR
PR0000061,FLAMINGO MARGARITAVILLE CASINO SVC BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO MARGARITAVILLE CASINO SVC BAR FLAMINGO MARGARITAVILLE CASINO SVC BAR
PR0000065,FLAMINGO MAIN KITCHEN HOT PROD,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,6,FLAMINGO MAIN KITCHEN HOT PROD FLAMINGO MAIN KITCHEN HOT PROD
PR0000066,FLAMINGO SHOWROOM BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,6,FLAMINGO SHOWROOM BAR FLAMINGO SHOWROOM BAR
PR0000067,FLAMINGO SHOWROOM BALCONY BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,B,17,FLAMINGO SHOWROOM BALCONY BAR FLAMINGO SHOWROOM BALCONY BAR
PR0000068,FLAMINGO ROOM SERVICE KITCHEN,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO ROOM SERVICE KITCHEN FLAMINGO ROOM SERVICE KITCHEN
PR0000069,FLAMINGO EDR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,8,FLAMINGO EDR FLAMINGO EDR
PR0000078,FLAMINGO ELDORADO BANQUET KITCHEN,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,3,FLAMINGO ELDORADO BANQUET KITCHEN FLAMINGO ELDORADO BANQUET KITCHEN
PR0000079,FLAMINGO GARDE MANGER,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,6,FLAMINGO GARDE MANGER FLAMINGO GARDE MANGER
PR0000080,FLAMINGO MAIN KIT COLD PROD,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,5,FLAMINGO MAIN KIT COLD PROD FLAMINGO MAIN KIT COLD PROD
PR0000081,FLAMINGO BAKERY,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,B,18,FLAMINGO BAKERY FLAMINGO BAKERY
PR0000082,FLAMINGO TROPICAL BREEZE,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,3,FLAMINGO TROPICAL BREEZE FLAMINGO TROPICAL BREEZE
PR0000083,FLAMINGO CASINO SERVICE BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,9,FLAMINGO CASINO SERVICE BAR FLAMINGO CASINO SERVICE BAR
PR0000084,FLAMINGO X BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,6,FLAMINGO X BAR FLAMINGO X BAR
PR0000089,FLAMINGO SUNSET BANQUET DISHROOM,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,3,FLAMINGO SUNSET BANQUET DISHROOM FLAMINGO SUNSET BANQUET DISHROOM
PR0000090,FLAMINGO BUFFET HOT/COLD,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO BUFFET HOT/COLD FLAMINGO BUFFET HOTCOLD
PR0000091,FLAMINGO GARDEN BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO GARDEN BAR FLAMINGO GARDEN BAR
PR0000093,FLAMINGO BUGSYS BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,8,FLAMINGO BUGSYS BAR FLAMINGO BUGSYS BAR
PR0000094,FLAMINGO PORTABLE CARTS - 19,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO PORTABLE CARTS - 19 FLAMINGO PORTABLE CARTS  19
PR0000095,FLAMINGO BUFFET FOOD PRODUCTION,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO BUFFET FOOD PRODUCTION FLAMINGO BUFFET FOOD PRODUCTION
PR0000096,FLAMINGO LOBBY BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO LOBBY BAR FLAMINGO LOBBY BAR
PR0000097,FLAMINGO ROASTING KITCHEN,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,0,FLAMINGO ROASTING KITCHEN FLAMINGO ROASTING KITCHEN
PR0000098,FLAMINGO POKER BAR,FLAMINGO LV HOTEL & CASINO,3555 S Las Vegas Blvd,36.1163474,-115.1723373,Las Vegas,89109-8901,A,8,FLAMINGO POKER BAR FLAMINGO POKER BAR
PR0000099,Fujis Japanese Restaurant,FUJIS JAPANESE RESTAURANT,3430 E TROPICANA Ave 30,36.1006486,-115.099351,Las Vegas,89121,A,9,Fujis Japanese Restaurant Fujis Japanese Restaurant
PR0000100,Bonnie Springs Saloon,Bonnie Springs Ranch,1 Bonnie Springs Rd,36.0622298,-115.4421784,Blue Diamond,89004,A,0,Bonnie Springs Saloon Bonnie Springs Saloon
PR0000101,Bonnie Springs Miners Restaurant,Bonnie Springs Ranch,1 Bonnie Springs Rd,36.0622298,-115.4421784,Blue Diamond,89004,A,0,Bonnie Springs Miners Restaurant Bonnie Springs Miners Restaurant
PR0000102,Bonnie Springs Ranch Bar,Bonnie Springs Ranch,1 Bonnie Springs Rd,36.0622298,-115.4421784,Blue Diamond,89004,A,8,Bonnie Springs Ranch Bar Bonnie Springs Ranch Bar
PR0000103,Bonnie Springs Ranch Restaurant,Bonnie Springs Ranch,1 Bonnie Springs Rd,36.0622298,-115.4421784,Blue Diamond,89004,A,3,Bonnie Springs Ranch Restaurant Bonnie Springs Ranch Restaurant
PR0000105,LV COUNTRY CLUB BAR,NEW LAS VEGAS COUNTRY CLUB,3000 Joe W Brown Dr,36.135625,-115.146012,Las Vegas,89109-1257,A,9,LV COUNTRY CLUB BAR LV COUNTRY CLUB BAR
PR0000106,LV COUNTRY CLUB RESTAURANT,NEW LAS VEGAS COUNTRY CLUB,3000 Joe W Brown Dr,36.135625,-115.146012,Las Vegas,89109-1257,A,9,LV COUNTRY CLUB RESTAURANT LV COUNTRY CLUB RESTAURANT
PR0000107,LV COUNTRY CLUB SNACK BAR,NEW LAS VEGAS COUNTRY CLUB,3000 Joe W Brown Dr,36.135625,-115.146012,Las Vegas,89109-1257,A,9,LV COUNTRY CLUB SNACK BAR LV COUNTRY CLUB SNACK BAR
PR0000113,Hush Puppy,Hush Puppy,7185 W Charleston Blvd,36.1585717,-115.2502497,Las Vegas,89117-1523,A,9,Hush Puppy Hush Puppy
PR0000114,Hush Puppy Lounge,Hush Puppy,7185 W Charleston Blvd,36.1585717,-115.2502497,Las Vegas,89117-1523,A,0,Hush Puppy Lounge Hush Puppy Lounge
PR0000115,Wendy's #18,Wendy's #18,4450 E Sunset Rd,36.0712117,-115.076025,Henderson,89014-2237,A,3,Wendy's #18 Wendys 18
PR0000116,Wendy's of Las Vegas #2,WENDYS OF LAS VEGASs #2,4760 E Flamingo Rd,36.115253,-115.07009,Las Vegas,89121-4709,A,6,Wendy's of Las Vegas #2 Wendys of Las Vegas 2
PR0000117,Wendy's of Las Vegas #14,Wendy's of Las Vegas #14,1151 S Rainbow Blvd,36.1574585,-115.2442322,Las Vegas,89146-9039,A,3,Wendy's of Las Vegas #14 Wendys of Las Vegas 14
PR0000118,Wendy's #19,Wendy's,8160 W Sahara Ave,36.144399,-115.269105,Las Vegas,89117-1935,A,0,Wendy's #19 Wendys 19
PR0000119,Wendy's of Las Vegas #15,Wendy's of Las Vegas #15,6198 W Flamingo Rd,36.1148591,-115.2263403,Las Vegas,89103-2280,A,9,Wendy's of Las Vegas #15 Wendys of Las Vegas 15
PR0000120,Wendy's #31,Wendy's #31,3995 S Durango Dr,36.11706,-115.279647,Las Vegas,89147-4131,A,3,Wendy's #31 Wendys 31
PR0000121,Wendy's #16,Wendy's #16,3333 W Tropicana Ave,36.1004135,-115.1851022,Las Vegas,89103-5630,A,6,Wendy's #16 Wendys 16
PR0000122,Wendy's of Las Vegas #5,WENDYS OF LAS VEGAS #5,1725 W Charleston Blvd,36.1585898,-115.1649327,Las Vegas,89102-2334,A,8,Wendy's of Las Vegas #5 Wendys of Las Vegas 5
PR0000123,Wendy's of Las Vegas #6,Wendy's of Las Vegas #6,4400 W Sahara Ave,36.145024,-115.200298,Las Vegas,89102-3728,A,9,Wendy's of Las Vegas #6 Wendys of Las Vegas 6
PR0000124,Wendy's of Las Vegas #8,Wendy's of Las Vegas #8,2601 S Eastern Ave,36.1430175,-115.11886,Las Vegas,89169-1814,A,9,Wendy's of Las Vegas #8 Wendys of Las Vegas 8
PR0000125,WENDYS #32,FASHION SHOW - WENDYS #32,3200 S Las Vegas Blvd #3060,36.1282071,-115.1730081,Las Vegas,89109-2612,A,9,WENDYS #32 WENDYS 32
PR0000127,Wendy's #25,Wendy's #25,4507 W Flamingo Rd,36.1149289,-115.201958,Las Vegas,89103-3702,A,0,Wendy's #25 Wendys 25
PR0000128,WENDYS,SHOWCASE MALL - WENDYS,3785 S Las Vegas Blvd,36.1031891,-115.1727648,Las Vegas,89109-4333,A,8,WENDYS WENDYS
PR0000130,Wendy's of Las Vegas #13,Wendy's of Las Vegas #13,990 N Nellis Blvd,36.1774767,-115.0616815,Las Vegas,89110,A,0,Wendy's of Las Vegas #13 Wendys of Las Vegas 13
PR0000131,Wendy's of Las Vegas #12,Wendy's of Las Vegas #12,3251 N Las Vegas Blvd,36.2173385,-115.0947684,North Las Vegas,89030,A,9,Wendy's of Las Vegas #12 Wendys of Las Vegas 12
PR0000132,Wendy's #29,Wendy's,8900 W Charleston Blvd,36.1595332,-115.2896481,Las Vegas,89117-5456,A,9,Wendy's #29 Wendys 29
PR0000133,Wendy's #20,Wendy's,4560 N Rancho Dr,36.2426533,-115.2347369,Las Vegas,89130-3408,A,9,Wendy's #20 Wendys 20
PR0000134,Wendy's #17,WENDY'Ss #17,6732 W Cheyenne Ave,36.2185864,-115.2437707,Las Vegas,89108-4588,A,3,Wendy's #17 Wendys 17
PR0000135,Wendy's #22,Wendy's #22,7150 W Lake Mead Blvd,36.1964407,-115.247962,Las Vegas,89128-8305,A,3,Wendy's #22 Wendys 22
PR0000136,Wendy's of Las Vegas #4,Wendy's of Las Vegas #4,844 N Rancho Dr,36.180793,-115.178365,Las Vegas,89106-3709,A,8,Wendy's of Las Vegas #4 Wendys of Las Vegas 4
PR0000137,Wendy's of Las Vegas #7,Wendy's of Las Vegas #7,301 S Decatur Blvd,36.1697444,-115.2054358,Las Vegas,89107-2803,A,3,Wendy's of Las Vegas #7 Wendys of Las Vegas 7
PR0000138,Wendy's #30,Wendy's,1301 W Craig Rd,36.2390671,-115.1593108,North Las Vegas,89032-0213,A,8,Wendy's #30 Wendys 30
PR0000139,Wendy's of Las Vegas #3,Wendy's of Las Vegas #3,1616 E Lake Mead Blvd,36.196528,-115.122006,North Las Vegas,89030-7145,A,10,Wendy's of Las Vegas #3 Wendys of Las Vegas 3
PR0000140,Wendy's #21,Wendy's of Las Vegas,1131 W Sunset Rd,36.063184,-115.035604,Henderson,89014-6601,A,9,Wendy's #21 Wendys 21
PR0000141,Wendy's #26,Wendy's #26,603 W Lake Mead Pkwy,36.0345735,-115.0014549,Henderson,89015-7017,A,6,Wendy's #26 Wendys 26
PR0000142,Wendy's #24,Wendy's #24,500 N Green Valley Pkwy,36.026794,-115.084754,Henderson,89074-6168,A,0,Wendy's #24 Wendys 24
PR0000143,Wendy's #28,Wendy's #28,11011 S Eastern Ave,35.9920521,-115.1022554,Henderson,89012-2954,A,8,Wendy's #28 Wendys 28
PR0000144,Wendy's #23,Wendy's #23,7355 S Eastern Ave,36.055987,-115.118789,Las Vegas,89123-1549,A,3,Wendy's #23 Wendys 23
PR0000145,Wendy's #27,Wendy's #27,9385 S Eastern Ave,36.018727,-115.1190843,Las Vegas,89123-6837,A,3,Wendy's #27 Wendys 27
PR0000146,Wendy's of Las Vegas #9,Wendy's of Las Vegas #9,400 S Boulder Hwy,36.0353125,-114.9761798,Henderson,89015-7573,A,0,Wendy's of Las Vegas #9 Wendys of Las Vegas 9
PR0000150,No Las Vegas Detention Center Kitchen,No Las Vegas Detention Center,2222 Constitution Way,36.2007315,-115.1168572,North Las Vegas,89030-6317,A,7,No Las Vegas Detention Center Kitchen No Las Vegas Detention Center Kitchen
PR0000152,No Las Vegas City Catering Service,No Las Vegas Detention Center,2222 Constitution Way,36.2007315,-115.1168572,North Las Vegas,89030-6317,A,1,No Las Vegas City Catering Service No Las Vegas City Catering Service
PR0000153,Aliante Golf Clubhouse Restaurant,Aliante Golf Course,3100 Elkhorn Rd,36.2946662,-115.1823786,North Las Vegas,89084,A,9,Aliante Golf Clubhouse Restaurant Aliante Golf Clubhouse Restaurant
PR0000154,Aliante Golf Clubhouse Bar,Aliante Golf Course,3100 Elkhorn Rd,36.2946662,-115.1823786,North Las Vegas,89084,A,3,Aliante Golf Clubhouse Bar Aliante Golf Clubhouse Bar
PR0000155,Aliante Golf Clubhouse Cart #1,Aliante Golf Course,3100 Elkhorn Rd,36.2946662,-115.1823786,North Las Vegas,89084,A,3,Aliante Golf Clubhouse Cart #1 Aliante Golf Clubhouse Cart 1
PR0000156,Aliante Golf Clubhouse Cart #2,Aliante Golf Course,3100 Elkhorn Rd,36.2946662,-115.1823786,North Las Vegas,89084,A,0,Aliante Golf Clubhouse Cart #2 Aliante Golf Clubhouse Cart 2
PR0000158,Skyview Multi Generational - Banquet,Skyview Multi-Gen Center,3050 E Centennial Pkwy,36.2774088,-115.1065929,North Las Vegas,89086,A,3,Skyview Multi Generational - Banquet Skyview Multi Generational  Banquet
PR0000159,Municipal Golf Course Snack Bar,North Las Vegas Golf Course,324 E Brooks Ave,36.2158304,-115.1362492,North Las Vegas,89030-3921,A,0,Municipal Golf Course Snack Bar Municipal Golf Course Snack Bar
PR0000160,CHINESE VILLAGE - RESTAURANT,CHINESE VILLAGE/PANDORA'S LOUNGE,608 N Rainbow Blvd,36.1793,-115.2422443,Las Vegas,89107-1101,A,0,CHINESE VILLAGE - RESTAURANT CHINESE VILLAGE  RESTAURANT
PR0000161,PANDORA'S LOUNGE - BAR,CHINESE VILLAGE/PANDORA'S LOUNGE,608 N Rainbow Blvd,36.1793,-115.2422443,Las Vegas,89107-1101,A,3,PANDORA'S LOUNGE - BAR PANDORAS LOUNGE  BAR
PR0000162,Play IT Again Sam Bar,Play IT Again Sam,4120 Spring Mountain Rd,36.126894,-115.195024,Las Vegas,89102-8702,A,8,Play IT Again Sam Bar Play IT Again Sam Bar
